catalogNumber,scientificName,Sex,Sociality,Median.Ocellar.Width,Median Ocellar Height,Lateral Ocellar Width ,Lateral Ocellar Length ,lateral-median distance ,lateral-lateral distance,eye length,Head Width,intertegular span,Corrected.MOW,Corrected.ITS,Corrected.MOH,Corrected.LOW,Corrected.LOL,Corrected.LMD,Corrected.LLD,Corrected.EL,Corrected.HW,MOW.to.ITS.Ratio
UCSB-IZC00009316,Apis mellifera,Male,Social,1.3,1.2,1.1,1.4,0.6,2,2.8,3.3,3.6,0.325,4.5,0.3,0.275,0.35,0.15,0.5,3.5,4.125,0.07222222222
UCSB-IZC00009308,Apis mellifera,Male,Social,1.35,1.25,1.1,1.4,0.5,2.05,2.8,3.4,3.6,0.3375,4.5,0.3125,0.275,0.35,0.125,0.5125,3.5,4.25,0.075
UCSB-IZC00010368,Apis mellifera,Male,Social,1.4,1.2,1,1.4,0.6,2.1,2.7,3.3,3.5,0.35,4.375,0.3,0.25,0.35,0.15,0.525,3.375,4.125,0.08
UCSB-IZC00009059,Apis mellifera,Male,Social,1.3,1.2,1.05,1.3,0.6,2.1,2.9,3.3,3.6,0.325,4.5,0.3,0.2625,0.325,0.15,0.525,3.625,4.125,0.07222222222
UCSB-IZC00009348,Apis mellifera,Male,Social,1.4,1.2,1.1,1.4,0.6,2.1,2.9,3.45,3.6,0.35,4.5,0.3,0.275,0.35,0.15,0.525,3.625,4.3125,0.07777777778
UCSB-IZC00009041,Apis mellifera,Male,Social,1.4,1.25,1.05,1.3,0.6,2.1,2.7,3.4,3.5,0.35,4.375,0.3125,0.2625,0.325,0.15,0.525,3.375,4.25,0.08
UCSB-IZC00009314,Apis mellifera,Male,Social,1.35,1.2,1.1,1.4,0.6,2,2.85,3.4,3.6,0.3375,4.5,0.3,0.275,0.35,0.15,0.5,3.5625,4.25,0.075
UCSB-IZC00009423,Apis mellifera,Male,Social,1.3,1.2,1,1.4,0.5,1.8,2.75,3.35,3.5,0.325,4.375,0.3,0.25,0.35,0.125,0.45,3.4375,4.1875,0.07428571429
UCRC ENT 495166,Apis mellifera,Queen,Social,1.1,1.05,0.9,1.1,1.35,2.5,1.8,2.9,2.85,0.275,3.5625,0.2625,0.225,0.275,0.3375,0.625,2.25,3.625,0.07719298246
UCRC ENT 139481,Apis mellifera,Queen,Social,1.1,1.1,0.95,1.2,1.35,2.6,1.9,2.95,2.8,0.275,3.5,0.275,0.2375,0.3,0.3375,0.65,2.375,3.6875,0.07857142857
